ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,refId_default,sfxVariationId,weight,basicPrice,sellValue,behaviorId,replaceItemId,sortId,appearanceReplaceItemId,yesNoDialogMessageId,useEnableSpEffectType,potGroupId,pad,iconId,modelId,shopLv,compTrophySedId,trophySeqId,maxNum,consumeHeroPoint,overDexterity,goodsType,refCategory,spEffectCategory,pad3,goodsUseAnim,opmeMenuType,useLimitCategory,replaceCategory,reserve4,enable_live,enable_gray,enable_white,enable_black,enable_multi,disable_offline,isEquip,isConsume,isAutoEquip,isEstablishment,isOnlyOne,isDiscard,isDeposit,isDisableHand,isRemoveItem_forGameClear,isSuppleItem,isFullSuppleItem,isEnhance,isFixItem,disableMultiDropShare,disableUseAtColiseum,disableUseAtOutOfColiseum,isEnableFastUseItem,isApplySpecialEffect,syncNumVaryId,refId_1,refVirtualWepId,vagrantItemLotId,vagrantBonusEneDropItemLotId,vagrantItemEneDropItemLotId,castSfxId,fireSfxId,effectSfxId,enable_ActiveBigRune,isBonfireWarpItem,enable_Ladder,isUseMultiPlayPreparation,canMultiUse,isShieldEnchant,isWarpProhibited,isUseMultiPenaltyOnly,suppleType,autoReplenishType,isDrop,showLogCondType,isSummonHorse,showDialogCondType,isSleepCollectionItem,enableRiding,disableRiding,maxRepositoryNum,sortGroupId,isUseNoAttackRegion,pad1,saleValue,rarity,useLimitSummonBuddy,useLimitSpEffectType,aiUseJudgeId,consumeMP,consumeHP,reinforceGoodsId,reinforceMaterialId,reinforcePrice,useLevel_vowType0,useLevel_vowType1,useLevel_vowType2,useLevel_vowType3,useLevel_vowType4,useLevel_vowType5,useLevel_vowType6,useLevel_vowType7,useLevel_vowType8,useLevel_vowType9,useLevel_vowType10,useLevel_vowType11,useLevel_vowType12,useLevel_vowType13,useLevel_vowType14,useLevel_vowType15,useLevel,reserve5,itemGetTutorialFlagId,reserve3,
191,[GRR] - Godrick's Great Rune,1,0,[0|0|0],-1,-1,0,0,-1,0,-1,200000,-1,-1,0,-1,0,3201,0,-1,-1,-1,1,0,50,15,2,0,0,0,0,0,0,[0|0],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,10,1,0,0,3,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
192,[GRR] - Radahn's Great Rune,1,0,[0|0|0],-1,-1,0,0,-1,0,-1,200020,-1,-1,0,-1,0,3204,0,-1,-1,-1,1,0,50,15,2,0,0,0,0,0,0,[0|0],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,10,1,0,0,3,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
193,[GRR] - Morgott's Great Rune,1,0,[0|0|0],-1,-1,0,0,-1,0,-1,200030,-1,-1,0,-1,0,3200,0,-1,-1,-1,1,0,50,15,2,0,0,0,0,0,0,[0|0],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,10,1,0,0,3,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
194,[GRR] - Rykard's Great Rune,1,0,[0|0|0],-1,-1,0,0,-1,0,-1,200010,-1,-1,0,-1,0,3203,0,-1,-1,-1,1,0,50,15,2,0,0,0,0,0,0,[0|0],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,304621,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,10,1,0,0,3,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
195,[GRR] - Mohg's Great Rune,1,0,[0|0|0],-1,-1,0,0,-1,0,-1,200040,-1,-1,0,-1,0,3205,0,-1,-1,-1,1,0,50,15,2,0,0,0,0,0,0,[0|0],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,10,1,0,0,3,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
196,[GRR] - Malenia's Great Rune,1,0,[0|0|0],-1,-1,0,0,-1,0,-1,200050,-1,-1,0,-1,0,3206,0,-1,-1,-1,1,0,50,15,2,0,0,0,0,0,0,[0|0],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,10,1,0,0,3,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
8148,[GRR] - Godrick's Great Rune [No consumable],1,0,[0|0|0],-1,-1,0,0,-1,0,-1,203030,-1,-1,0,-1,0,3078,0,-1,-1,-1,1,0,50,1,0,0,0,0,0,0,0,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,40,1,0,0,3,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],710810,[0|0|0|0|0|0|0|0]
8149,[GRR] - Radahn's Great Rune [No consumable],1,0,[0|0|0],-1,-1,0,0,-1,0,-1,203050,-1,-1,0,-1,0,3079,0,-1,-1,-1,1,0,50,1,0,0,0,0,0,0,0,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,40,1,0,0,3,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],710810,[0|0|0|0|0|0|0|0]
8150,[GRR] - Morgott's Great Rune [No consumable],1,0,[0|0|0],-1,-1,0,0,-1,0,-1,203060,-1,-1,0,-1,0,3080,0,-1,-1,-1,1,0,50,1,0,0,0,0,0,0,0,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,40,1,0,0,3,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],710810,[0|0|0|0|0|0|0|0]
8151,[GRR] - Rykard's Great Rune [No consumable],1,0,[0|0|0],-1,-1,0,0,-1,0,-1,203040,-1,-1,0,-1,0,3081,0,-1,-1,-1,1,0,50,1,0,0,0,0,0,0,0,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,40,1,0,0,3,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],710810,[0|0|0|0|0|0|0|0]
